Land;RB;Kreis;VB;Gem;Stadt;Plz;Fläche_km;inhabitants_total;inhabitants_f;inhabitants_m;inhabitant_density
12;0;69;5918;696;Ziesar, Stadt;14793;67,95;2442;1198;1244;36
8;3;36;5006;79;Schönau im Schwarzwald, Stadt;79677;14,72;2442;1207;1235;166
9;3;74;5331;147;Pleystein, St;92714;42,40;2421;1204;1217;57
12;0;62;5209;445;Schlieben, Stadt;4936;78,65;2414;1207;1207;31
15;0;84;5051;125;Eckartsberga, Stadt;6648;35,97;2410;1246;1164;67
14;5;21;5130;520;Schlettau, Stadt;9487;21,22;2388;1161;1227;113
6;5;35;6;6;Grebenau, Stadt;36323;55,34;2388;1223;1165;43
1;0;61;5153;55;Krempe, Stadt;25361;14305,00;2384;1171;1213;703
16;0;65;5002;84;Großenehrich, Stadt;99718;63,34;2356;1184;1172;37
16;0;63;5004;72;Stadtlengsfeld, Stadt;36466;43673,00;2356;1196;1160;85
16;0;63;5006;13;Creuzburg, Stadt;99826;35,40;2338;1160;1178;66
3;3;58;5402;18;Rethem (Aller), Stadt;27336;34,08;2326;1152;1174;68
14;6;26;420;420;Ostritz, Stadt;2899;23,48;2307;1135;1172;98
8;3;35;5001;1;Aach, Stadt;78267;25112,00;2302;1177;1125;216
9;6;73;5637;123;Fladungen, St;97648;46,34;2271;1159;1112;49
7;1;41;5005;68;Katzenelnbogen, Stadt;56368;43344,00;2228;1081;1147;243
16;0;65;5001;33;Heldrungen, Stadt;6577;23,27;2207;1083;1124;95
13;0;73;5353;27;Garz/Rügen, Stadt;18574;65,89;2201;1106;1095;33
8;4;15;5006;34;Hayingen, Stadt;72534;63,36;2200;1124;1076;35
6;6;35;17;17;Rosenthal, Stadt;35119;51,55;2188;1104;1084;42
12;0;60;5011;176;Oderberg, Stadt;16230;36,12;2171;1096;1075;60
9;6;75;144;144;Mainbernheim, St;97350;44531,00;2165;1091;1074;177
13;0;72;5259;85;Rerik, Stadt;18230;34,22;2161;1028;1133;63
8;4;37;5001;114;Veringenstadt, Stadt;72519;31,25;2144;1073;1071;69
12;0;66;5606;240;Ortrand, Stadt;1990;13332,00;2138;1046;1092;290
12;0;70;5005;244;Lenzen (Elbe), Stadt;19309;96,19;2136;1035;1101;22
