Land;RB;Kreis;VB;Gem;Stadt;Plz;Fläche_km;inhabitants_total;inhabitants_f;inhabitants_m;inhabitant_density
13;0;75;5551;74;Lassan, Stadt;17440;28,21;1532;781;751;54
9;6;76;5632;158;Stadtprozelten, St;97909;32051,00;1530;789;741;141
7;2;32;5005;88;Neuerburg, Stadt;54673;43009,00;1523;745;778;150
15;0;90;5051;10;Arneburg, Stadt;39596;30,64;1512;735;777;49
12;0;64;5408;84;Buckow (Märkische Schweiz), Stadt;15377;14,42;1479;735;744;103
7;3;40;5008;211;Hornbach, Stadt;66500;13,34;1472;743;729;110
16;0;76;5056;29;Hohenleuben, Stadt;7957;19603,00;1461;801;660;153
9;6;79;5644;114;Aub, St;97239;17,54;1455;735;720;83
9;4;79;5443;127;Hohenberg a.d.Eger, St;95691;15,66;1452;718;734;93
15;0;83;5054;355;Kroppenstedt, Stadt;39397;38,65;1440;720;720;37
13;0;73;5355;24;Franzburg, Stadt;18461;43511,00;1394;683;711;92
7;2;31;5008;80;Manderscheid, Stadt;54531;43626,00;1389;656;733;138
12;0;61;5113;308;Lieberose, Stadt;15868;73,03;1379;692;687;19
16;0;71;5013;11;Buttelstedt, Stadt;99439;18,85;1317;661;656;70
7;1;41;5009;121;Sankt Goarshausen, Loreleystadt, Stadt;56346;43623,00;1302;651;651;184
13;0;73;5355;76;Richtenberg, Stadt;18461;15,68;1295;650;645;83
14;6;28;5202;230;Liebstadt, Stadt;1825;37,36;1294;659;635;35
6;6;34;23;23;Schwarzenborn, Stadt;34639;43734,00;1275;715;560;47
9;3;74;5327;140;Neustadt am Kulm, St;92672;43544,00;1118;542;576;55
16;0;74;5011;65;Orlamünde, Stadt;7768;17349,00;1117;547;570;150
15;0;88;5051;340;Schraplau, Stadt;6279;43623,00;1101;531;570;156
15;0;90;5051;610;Werben (Elbe), Hansestadt;39615;53,37;1088;557;531;20
9;4;75;5428;146;Lichtenberg, St;95192;17411,00;1053;518;535;111
16;0;65;5002;12;Clingen, Stadt;99718;27668,00;1051;521;530;98
7;3;33;5001;54;Obermoschel, Stadt;67823;42278,00;1049;527;522;103
9;4;77;5437;129;Kupferberg, St;95369;47331,00;1036;517;519;125
9;6;77;5621;181;Rothenfels, St;97828;43658,00;1012;518;494;84
15;0;84;5054;470;Stößen, Stadt;6667;47300,00;913;438;475;125
7;2;32;5008;70;Kyllburg, Stadt;54655;22737,00;890;453;437;193
15;0;90;5052;445;Sandau (Elbe), Stadt;39524;18,58;868;423;445;47
7;1;41;5009;69;Kaub, Stadt;56349;43598,00;856;445;411;66
12;0;61;5108;328;Märkisch Buchholz, Stadt;15748;24,86;804;398;406;32
16;0;75;5013;127;Ziegenrück, Stadt;7924;45870,00;647;309;338;78
3;3;54;5403;21;Schnackenburg, Stadt;29493;23,76;562;281;281;24
16;0;71;5013;61;Neumark, Stadt;99439;24685,00;486;253;233;56
16;0;69;5004;52;Ummerstadt, Stadt;98663;15,73;462;239;223;29
1;0;59;5920;2;Arnis, Stadt;24399;0,45;280;149;131;622
;;;;;Städte insgesamt;; 147 913,08;60627131;29773188;30853943;410
